pike-push-up,Bodyweight,
half-kneeling-med-ball-overhead-press,Medball,
kettlebell-alternating-lateral-front-raise,Kettlebell,
dumbbell-single-windmill,Dumbbell,"back_lower_back (40.0%), front_abs (40.0%)"
lateral-bear-crawl,Bodyweight,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
dumbbell-crunch-and-press,Dumbbell,front_chest (40.0%)
external-rotation,Bodyweight,
bear-crawl-sit-through,Bodyweight,front_abs (40.0%)
med-ball-overhead-lunge-hold,Medball,back_glutes (40.0%)
single-arm-landmine-push-press,"Barbell, Landmine",
med-ball-curl-switch,Medball,front_traps (40.0%)
lateral-gorilla-crawl,Bodyweight,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
kettlebell-upright-row,Kettlebell,front_traps (40.0%)
cable-decline-row,Cables,"back_lower_back (40.0%), front_abs (40.0%)"
barbell-snatch-press,Barbell,
single-arm-split-stance-decline-row,Cables,"back_lower_back (40.0%), front_abs (40.0%)"
landmine-push-press,"Barbell, Landmine",
band-internal-rotation,Bands,
med-ball-standing-figure-8,Medball,
band-lateral-raise,Bands,
med-ball-thruster,Medball,back_glutes (40.0%)
half-kneeling-band-overhead-press,Bands,
kettlebell-waiters-carry,Kettlebell,
cable-lying-alternating-arm-leg-reach,Cables,front_abs (40.0%)
single-kettlebell-halo,Kettlebell,
half-kneeling-dumbbell-hammer-curl-to-press,"Dumbbell, Hammer",
landmine-thruster,"Barbell, Landmine",back_glutes (40.0%)
dumbbell-around-the-world,Dumbbell,
split-stance-cable-incline-press,Cables,
band-curl-to-press,Bands,
med-ball-wall-ball,Medball,
kettlebell-lunge-and-press,Kettlebell,
band-front-raise,Bands,
battle-ropes-dual,Battle Ropes,front_traps (40.0%)
elevated-knee-tap,Bodyweight,"front_abs (40.0%), front_hip_flexors (40.0%)"
barbell-overhead-lunge,Barbell,back_glutes (40.0%)
arm-circle,Bodyweight,
star-plank-hold,Bodyweight,front_abs (40.0%)
shoulder-stretch,Bodyweight,
bosu-high-plank,Bosu,front_obliques (40.0%)
half-kneeling-kettlebell-curl-to-press,Kettlebell,
bridge-stretch,Bodyweight,"back_lower_back (40.0%), front_abs (40.0%)"
band-upright-row,Bands,front_traps (40.0%)
single-kettlebell-crunch-and-press,Kettlebell,front_chest (40.0%)
dumbbell-renegade-row,Dumbbell,"front_abs (40.0%), front_biceps (40.0%)"
cable-lateral-raise,Cables,
seated-med-ball-overhead-press,Medball,
med-ball-med-ball-throw,Medball,
dumbbell-front-raise,Dumbbell,
alternating-kettlebell-lateral-raise,Kettlebell,
spiderman,Bodyweight,front_obliques (40.0%)
kettlebell-lunge-to-lateral-raise,Kettlebell,
med-ball-curl-to-press,Medball,
med-ball-front-raise,Medball,
band-row-to-x,Bands,front_traps (40.0%)
single-kettlebell-curl-switch,Kettlebell,front_traps (40.0%)
seated-dumbbell-figure-8,Dumbbell,
dumbbell-curl-switch,Dumbbell,front_traps (40.0%)
alternating-cable-lateral-raise,Cables,
handstand,Bodyweight,front_traps (40.0%)
single-kettlebell-around-the-world,Kettlebell,
half-kneeling-bottoms-up-single-kettlebell-press,Kettlebell,front_abs (40.0%)
med-ball-crunch-and-press,Medball,front_chest (40.0%)
kettlebell-curl-to-press,Kettlebell,
med-ball-lunge-and-press,Medball,
cable-incline-bench-press,"Bench, Cables",
single-arm-dumbbell-overhead-press,Dumbbell,
single-leg-kettlebell-deadlift-to-press,Kettlebell,front_quads (40.0%)
band-overhead-press,Bands,
crab-toe-touch,Bodyweight,front_hip_flexors (40.0%)
single-kettlebell-push-up-with-drag,Bodyweight,"front_abs (40.0%), front_obliques (40.0%)"
windmill,Bands,"back_lower_back (40.0%), front_abs (40.0%)"
shadow-boxing,Bodyweight,front_chest (40.0%)
kettlebell-arnold-press,Kettlebell,
wall-walk-out,Bodyweight,front_abs (40.0%)
cable-internal-rotation,Cables,
kettlebell-lying-alternating-arm-leg-reach,Kettlebell,front_abs (40.0%)
half-kneeling-barbell-landmine-press,"Barbell, Landmine",
kettlebell-thruster,Kettlebell,back_glutes (40.0%)
bodyweight-overhead-lunge-hold,Bodyweight,back_glutes (40.0%)
landmine-rotary,"Landmine, Barbell",front_abs (40.0%)
elevated-burpee,Bench,"front_abs (40.0%), front_hip_flexors (40.0%)"
elevated-step-burpee,Bodyweight,"front_abs (40.0%), front_quads (40.0%)"
seated-barbell-overhead-press,Barbell,
high-plank-reach-through-to-push-up,Bodyweight,"front_chest (40.0%), front_obliques (40.0%)"
seated-single-kettlebell-figure-8,Kettlebell,
kettlebell-incline-bench-press,"Bench, Kettlebell",
dumbbell-alternating-lateral-front-raise,Dumbbell,
yoga-ball-kettlebell-hammer-curl-to-press,"Kettlebell, Yoga Ball, Hammer",
alternating-dumbbell-lateral-raise,Dumbbell,
seated-kettlebell-curl-to-press,Kettlebell,
cable-upright-row,Cables,front_traps (40.0%)
crab-walk,Bodyweight,
trx-high-row,trx,"back_lats (40.0%), front_traps (40.0%)"
band-around-the-world,Bands,
dumbbell-overhead-press,Dumbbell,
single-leg-med-ball-deadlift-to-press,Medball,front_quads (40.0%)
kettlebell-overhead-lunge-hold,Kettlebell,back_glutes (40.0%)
seated-kettlebell-hammer-curl-to-press,"Kettlebell, Hammer",
cable-row-to-x,Cables,front_traps (40.0%)
bodyweight-overhead-lunge,Bodyweight,back_glutes (40.0%)
kettlebell-hammer-curl-to-press,"Kettlebell, Hammer",
single-arm-cable-overhead-press,Cables,
band-alternating-lateral-front-raise,Bands,
barbell-upright-row,Barbell,front_traps (40.0%)
band-thruster,Bands,back_glutes (40.0%)
sleeper-stretch,Bodyweight,
barbell-thruster,Barbell,back_glutes (40.0%)
yoga-ball-band-lateral-raise,"Bands, Yoga Ball",
seated-kettlebell-overhead-press,Kettlebell,
alternating-dumbbell-overhead-press,Dumbbell,
single-leg-dumbbell-deadlift-to-press,Dumbbell,front_quads (40.0%)
dumbbell-curl-to-press,Dumbbell,
band-lying-alternating-arm-leg-reach,Bands,front_abs (40.0%)
half-kneeling-med-ball-curl-to-press,Medball,
single-arm-split-stance-cable-incline-press,Cables,
unilateral-dumbbell-hammer-curl-to-press,"Dumbbell, Hammer",
single-kettlebell-goblet-single-kettlebell-press,Kettlebell,front_abs (40.0%)
unilateral-barbell-landmine-press,"Barbell, Landmine",
dumbbell-overhead-lunge,Dumbbell,back_glutes (40.0%)
single-kettlebell-internal-rotation,Kettlebell,
single-kettlebell-external-rotation,Kettlebell,
kettlebell-standing-snow-angel,Kettlebell,
dumbbell-halo,Dumbbell,
slider-mountain-climber,Bodyweight,"back_lower_back (40.0%), front_hip_flexors (40.0%)"
dumbbell-push-up-with-drag,Bodyweight,"front_abs (40.0%), front_obliques (40.0%)"
kettlebell-deadlift-to-press,Kettlebell,front_quads (40.0%)
band-high-row,Bands,"back_lats (40.0%), front_traps (40.0%)"
med-ball-push-up-with-drag,Medball,"front_abs (40.0%), front_obliques (40.0%)"
wall-walk,Bodyweight,front_abs (40.0%)
bodyweight-lying-snow-angel,Bodyweight,
inchworm-to-push-up,Bodyweight,
kettlebell-overhead-lunge,Kettlebell,back_glutes (40.0%)
lying-alternating-arm-leg-reach,Bodyweight,front_abs (40.0%)
seated-med-ball-figure-8,Medball,
handstand-push-up,Bodyweight,front_traps (40.0%)
kettlebell-front-raise,Kettlebell,
band-overhead-stretch,Bodyweight,
dumbbell-hammer-curl-to-press,"Dumbbell, Hammer",
dumbbell-thruster,Dumbbell,back_glutes (40.0%)
kettlebell-push-press,Kettlebell,
dumbbell-push-press,Dumbbell,
unilateral-single-kettlebell-hammer-curl-to-press,"Kettlebell, Hammer",
bosu-high-side-plank,Bosu,front_abs (40.0%)
pause-bear-crawl,Bodyweight,front_abs (40.0%)
wall-reach,Bodyweight,
yoga-ball-dumbbell-lateral-raise,"Dumbbell, Yoga Ball",
yoga-ball-kettlebell-lateral-raise,"Kettlebell, Yoga Ball",
dumbbell-arnold-press,Dumbbell,
bosu-spiderman,Bosu,front_obliques (40.0%)
single-kettlebell-standing-figure-8,Kettlebell,
dumbbell-lying-alternating-arm-leg-reach,Dumbbell,front_abs (40.0%)
dumbbell-lunge-to-lateral-raise,Dumbbell,
half-kneeling-kettlebell-hammer-curl-to-press,"Kettlebell, Hammer",
med-ball-halo,Medball,
battle-ropes-snake,Battle Ropes,front_obliques (40.0%)
kettlebell-overhead-walk,Kettlebell,front_abs (40.0%)
seated-machine-overhead-press,Machine,
alternating-kettlebell-hammer-curl-to-press,"Kettlebell, Hammer",
battle-ropes-alt,Battle Ropes,"front_abs (40.0%), front_obliques (40.0%), front_traps (40.0%)"
single-arm-single-kettlebell-overhead-press,Kettlebell,
half-kneeling-dumbbell-curl-to-press,Dumbbell,
inchworm,Bodyweight,
alternating-dumbbell-hammer-curl-to-press,"Dumbbell, Hammer",
very-incline-pike-push-up,Bodyweight,
dumbbell-external-rotation,Dumbbell,
barbell-push-press,Barbell,
half-kneeling-dumbbell-overhead-press,Dumbbell,
dumbbell-lunge-and-press,Dumbbell,
trx-row-to-x,trx,front_traps (40.0%)
high-plank,Bodyweight,front_obliques (40.0%)
hollow-roll,Bodyweight,
seated-dumbbell-curl-to-press,Dumbbell,
dumbbell-standing-snow-angel,Dumbbell,
dive-bomber-push-up,Bodyweight,front_traps (40.0%)
alternating-band-lateral-raise,Bands,
dumbbell-standing-figure-8,Dumbbell,
push-up-to-reach,Bodyweight,front_traps (40.0%)
half-kneeling-barbell-overhead-press,Barbell,
barbell-incline-bench-press,"Barbell, Bench",
alternating-kettlebell-overhead-press,Kettlebell,
chair-plank-jack,Bodyweight,back_lower_back (40.0%)
barbell-overhead-press,Barbell,
chair-mountain-climber,Bodyweight,"back_lower_back (40.0%), front_hip_flexors (40.0%)"
half-kneeling-cable-overhead-press,Cables,
dumbbell-deadlift-to-press,Dumbbell,front_quads (40.0%)
dumbbell-internal-rotation,Dumbbell,
barbell-landmine-press,"Barbell, Landmine",
seated-dumbbell-hammer-curl-to-press,"Dumbbell, Hammer",
incline-pike-push-up,Bodyweight,
bodyweight-internal-rotation,Bodyweight,
alternating-cable-overhead-press,Cables,
yoga-ball-dumbbell-hammer-curl-to-press,"Dumbbell, Yoga Ball, Hammer",
seated-med-ball-curl-to-press,Medball,
med-ball-overhead-lunge,Medball,back_glutes (40.0%)
floor-reach,Bodyweight,
bosu-half-burpee,Bosu,"back_glutes (40.0%), front_abs (40.0%), front_chest (40.0%), front_hip_flexors (40.0%)"
dumbbell-man-maker-push-up,Dumbbell,"back_lats (40.0%), front_abs (40.0%), front_biceps (40.0%), front_hip_flexors (40.0%), front_quads (40.0%)"
bosu-plank-to-push-up,Bosu,
dumbbell-incline-bench-press,"Bench, Dumbbell",
dumbbell-overhead-lunge-hold,Dumbbell,back_glutes (40.0%)
dumbbell-firemans-carry,Dumbbell,front_obliques (40.0%)
med-ball-overhead-press,Medball,
dumbbell-upright-row,Dumbbell,front_traps (40.0%)
hammer-machine-overhead-press,"Machine, Hammer",
cable-overhead-press,Cables,
bear-crawl,Bodyweight,front_chest (40.0%)
seated-cable-overhead-press,Cables,
med-ball-around-the-world,Medball,
cable-front-raise,Cables,
kettlebell-overhead-press,Kettlebell,
seated-dumbbell-overhead-press,Dumbbell,
alternating-band-overhead-press,Bands,
half-kneeling-kettlebell-overhead-press,Kettlebell,
dumbbell-overhead-walk,Dumbbell,front_abs (40.0%)
kettlebell-firemans-carry,Kettlebell,front_obliques (40.0%)
cable-high-row,Cables,"back_lats (40.0%), front_traps (40.0%)"
med-ball-deadlift-to-press,Medball,front_quads (40.0%)
med-ball-overhead-walk,Medball,front_abs (40.0%)
kettlebell-lateral-raise,Kettlebell,
med-ball-incline-bench-press,"Bench, Medball",
battle-ropes-shoulder-rotation,Battle Ropes,front_biceps (40.0%)
barbell-overhead-lunge-hold,Barbell,back_glutes (40.0%)
plank-to-push-up,Bodyweight,
shoulder-tap-to-push-up,Bodyweight,front_abs (40.0%)
high-side-plank,Bodyweight,front_abs (40.0%)
dumbbell-devils-press,Dumbbell,front_abs (40.0%)
band-external-rotation,Bands,
cable-external-rotation,Cables,
dumbbell-lateral-raise,Dumbbell,
